codigo,nombre,tipo_cuenta,naturaleza,nivel,cuenta_padre_id,descripcion,activa,permite_movimiento
1,ACTIVO,activo,debito,1,,Representa todos los bienes y derechos de la empresa,1,0
11,DISPONIBLE,activo,debito,2,1,Efectivo y equivalentes de efectivo,1,0
1105,CAJA,activo,debito,3,11,Dinero en efectivo en caja,1,1
110505,CAJA GENERAL,activo,debito,4,1105,Caja principal de la empresa,1,1
110510,CAJAS MENORES,activo,debito,4,1105,Cajas menores para gastos menores,1,1
1110,BANCOS,activo,debito,3,11,Cuentas corrientes y de ahorros en bancos,1,0
111005,MONEDA NACIONAL,activo,debito,4,1110,Cuentas bancarias en pesos colombianos,1,1
111010,MONEDA EXTRANJERA,activo,debito,4,1110,Cuentas bancarias en moneda extranjera,1,1
12,INVERSIONES,activo,debito,2,1,Inversiones temporales y permanentes,1,0
1205,ACCIONES,activo,debito,3,12,Inversiones en acciones,1,1
13,DEUDORES,activo,debito,2,1,Cuentas por cobrar a terceros,1,0
1305,CLIENTES,activo,debito,3,13,Cuentas por cobrar a clientes,1,1
130505,CLIENTES NACIONALES,activo,debito,4,1305,Clientes del territorio nacional,1,1
130510,CLIENTES DEL EXTERIOR,activo,debito,4,1305,Clientes del exterior,1,1
14,INVENTARIOS,activo,debito,2,1,Mercancías y materias primas,1,0
1435,MERCANCÍAS NO FABRICADAS POR LA EMPRESA,activo,debito,3,14,Productos para la venta no fabricados,1,1
15,PROPIEDADES PLANTA Y EQUIPO,activo,debito,2,1,Activos fijos tangibles,1,0
1504,TERRENOS,activo,debito,3,15,Terrenos de propiedad de la empresa,1,1
1516,CONSTRUCCIONES Y EDIFICACIONES,activo,debito,3,15,Edificios y construcciones,1,1
1520,MAQUINARIA Y EQUIPO,activo,debito,3,15,Maquinaria y equipos de producción,1,1
1524,EQUIPO DE OFICINA,activo,debito,3,15,Equipos y muebles de oficina,1,1
1528,EQUIPO DE COMPUTACIÓN Y COMUNICACIÓN,activo,debito,3,15,Computadores y equipos de comunicación,1,1
1592,DEPRECIACIÓN ACUMULADA,activo,credito,3,15,Depreciación acumulada de activos fijos,1,0
159205,CONSTRUCCIONES Y EDIFICACIONES,activo,credito,4,1592,Depreciación acumulada edificaciones,1,1
159220,MAQUINARIA Y EQUIPO,activo,credito,4,1592,Depreciación acumulada maquinaria,1,1
2,PASIVO,pasivo,credito,1,,Obligaciones y deudas de la empresa,1,0
21,OBLIGACIONES FINANCIERAS,pasivo,credito,2,2,Préstamos y obligaciones bancarias,1,0
2105,BANCOS NACIONALES,pasivo,credito,3,21,Obligaciones con bancos nacionales,1,1
2110,BANCOS DEL EXTERIOR,pasivo,credito,3,21,Obligaciones con bancos del exterior,1,1
22,PROVEEDORES,pasivo,credito,2,2,Cuentas por pagar a proveedores,1,0
2205,PROVEEDORES NACIONALES,pasivo,credito,3,22,Deudas con proveedores nacionales,1,1
2210,PROVEEDORES DEL EXTERIOR,pasivo,credito,3,22,Deudas con proveedores extranjeros,1,1
23,CUENTAS POR PAGAR,pasivo,credito,2,2,Otras obligaciones por pagar,1,0
2335,COSTOS Y GASTOS POR PAGAR,pasivo,credito,3,23,Servicios recibidos pendientes de pago,1,1
2365,RETENCIÓN EN LA FUENTE,pasivo,credito,3,23,Retenciones practicadas pendientes de pago,1,1
2367,IMPUESTO A LAS VENTAS RETENIDO,pasivo,credito,3,23,IVA retenido pendiente de pago,1,1
24,IMPUESTOS GRAVÁMENES Y TASAS,pasivo,credito,2,2,Impuestos por pagar al estado,1,0
2404,DE RENTA Y COMPLEMENTARIOS,pasivo,credito,3,24,Impuesto de renta por pagar,1,1
2408,IMPUESTO A LAS VENTAS POR PAGAR,pasivo,credito,3,24,IVA por pagar,1,1
2412,DE INDUSTRIA Y COMERCIO,pasivo,credito,3,24,Impuesto de industria y comercio,1,1
25,OBLIGACIONES LABORALES,pasivo,credito,2,2,Obligaciones con empleados,1,0
2505,SALARIOS POR PAGAR,pasivo,credito,3,25,Sueldos pendientes de pago,1,1
